"member_casual","month","AVG(ride_length)"
casual,June,25.018498055247292
casual,July,25.092554046162878
casual,August,23.283847350006834
casual,September,21.8037945363601
casual,October,20.467826650102015
casual,November,17.23164840393705
casual,December,14.840431994921454
casual,January,14.878849802504922
casual,February,17.67231785452771
casual,March,16.719197939818912
casual,April,22.620660225443025
casual,May,24.524468676393003
member,June,13.683135718680695
member,July,13.502961009298902
member,August,13.105794499298526
member,September,12.621856060847016
member,October,11.674189203065051
member,November,10.823942811049303
member,December,10.20042917091761
member,January,10.00447721699279
member,February,10.421982292094961
member,March,10.170855748267288
member,April,11.555842066095853
member,May,12.693667065006073
