"member_casual","start_hour","COUNT(start_hour)"
casual,"00",32056
casual,"01",20833
casual,"02",12246
casual,"03",6763
casual,"04",4515
casual,"05",8707
casual,"06",23392
casual,"07",40351
casual,"08",55069
casual,"09",56194
casual,"10",72237
casual,"11",93447
casual,"12",109910
casual,"13",114537
casual,"14",121201
casual,"15",134849
casual,"16",153625
casual,"17",170546
casual,"18",148467
casual,"19",111926
casual,"20",81398
casual,"21",69352
casual,"22",61477
casual,"23",44809
member,"00",25585
member,"01",15656
member,"02",8737
member,"03",5268
member,"04",6097
member,"05",26050
member,"06",81663
member,"07",151674
member,"08",180596
member,"09",120043
member,"10",109540
member,"11",129722
member,"12",149413
member,"13",147817
member,"14",148811
member,"15",183336
member,"16",249057
member,"17",297750
member,"18",233324
member,"19",165950
member,"20",115173
member,"21",88671
member,"22",65509
member,"23",41332
