"member_casual","weekday","AVG(ride_length)"
casual,Thursday,20.172314408425763
casual,Wednesday,19.621080494972414
casual,Saturday,25.439464683591524
casual,Sunday,26.163065973229813
casual,Tuesday,20.42086479487154
casual,Friday,21.806445744165483
casual,Monday,22.817335542174632
member,Wednesday,11.681998594711999
member,Monday,11.565391640445176
member,Thursday,11.777217569105392
member,Saturday,13.682641821223282
member,Friday,12.015362834052803
member,Sunday,13.61541457811505
member,Tuesday,11.685480744469631
